iter	Passed	Remaining
781	5405	1506
782	5411	1499
783	5418	1492
784	5424	1485
785	5432	1479
786	5437	1471
787	5447	1465
788	5452	1458
789	5461	1451
790	5470	1445
791	5482	1439
792	5488	1432
793	5496	1426
794	5502	1418
795	5510	1412
796	5516	1405
797	5522	1397
798	5529	1391
799	5535	1383
800	5542	1376
801	5547	1369
802	5554	1362
803	5563	1356
804	5569	1349
805	5575	1342
806	5580	1334
807	5588	1327
808	5594	1320
809	5602	1314
810	5608	1306
811	5613	1299
812	5621	1292
813	5626	1285
814	5633	1278
815	5640	1271
816	5645	1264
817	5652	1257
818	5661	1251
819	5668	1244
820	5683	1239
821	5689	1232
822	5698	1225
823	5703	1218
824	5709	1211
825	5716	1204
826	5721	1196
827	5732	1190
828	5741	1184
829	5746	1177
830	5752	1169
831	5759	1163
832	5764	1155
833	5772	1148
834	5777	1141
835	5783	1134
836	5791	1127
837	5796	1120
838	5805	1113
839	5811	1107
840	5820	1100
841	5829	1093
842	5835	1086
843	5843	1079
844	5849	1072
845	5859	1066
846	5866	1059
847	5883	1054
848	5889	1047
849	5894	1040
850	5901	1033
851	5906	1025
852	5911	1018
853	5917	1011
854	5922	1004
855	5928	997
856	5933	990
857	5938	982
858	5945	975
859	5950	968
860	5955	961
861	5961	954
862	5966	947
863	5971	939
864	5977	932
865	5983	925
866	5988	918
867	5995	911
868	6000	904
869	6006	897
870	6012	890
871	6017	883
872	6022	876
873	6027	869
874	6033	861
875	6039	854
876	6043	847
877	6048	840
878	6055	833
879	6062	826
880	6067	819
881	6075	812
882	6082	805
883	6089	799
884	6093	791
885	6099	784
886	6105	777
887	6110	770
888	6118	763
889	6124	756
890	6129	749
891	6136	743
892	6142	736
893	6147	728
894	6154	721
895	6158	714
896	6165	707
897	6170	700
898	6175	693
899	6182	686
900	6187	679
901	6192	672
902	6200	666
903	6205	658
904	6209	651
905	6216	644
906	6221	637
907	6226	630
908	6233	624
909	6238	616
910	6243	609
911	6248	602
912	6255	596
913	6261	589
914	6281	583
915	6296	577
916	6308	571
917	6319	564
918	6330	557
919	6335	550
920	6342	544
921	6347	536
922	6352	529
923	6358	523
924	6363	515
925	6368	508
926	6375	502
927	6381	495
928	6388	488
929	6393	481
930	6397	474
931	6403	467
932	6408	460
933	6413	453
934	6419	446
935	6424	439
936	6430	432
937	6436	425
938	6441	418
939	6446	411
940	6453	404
941	6462	397
942	6468	391
943	6474	384
944	6483	377
945	6488	370
946	6493	363
947	6500	356
948	6504	349
949	6510	342
950	6517	335
951	6522	328
952	6527	321
953	6532	315
954	6537	308
955	6543	301
956	6547	294
957	6553	287
958	6559	280
959	6564	273
960	6569	266
961	6575	259
962	6580	252
963	6585	245
964	6592	239
965	6597	232
966	6601	225
967	6608	218
968	6611	211
969	6616	204
970	6624	197
971	6629	190
972	6634	184
973	6640	177
974	6647	170
975	6653	163
976	6659	156
977	6666	149
978	6674	143
979	6679	136
980	6686	129
981	6691	122
982	6696	115
983	6703	108
984	6708	102
985	6713	95
986	6718	88
987	6723	81
988	6728	74
989	6733	68
990	6738	61
991	6746	54
992	6770	47
993	6779	40
994	6784	34
995	6790	27
996	6796	20
997	6801	13
998	6807	6
999	6813	0
